Year,Publication Date,Headline,Snippet,Section Name,Type of Material
1955,11-Feb-55,"A.F.L., C.I.O. Divided On Parley in Venezuela","AFL and CIO fail to agree on sending repr to regional conf, Caracas; CIO to send repr",,Article
1955,13-Feb-55,"MAYS' HOMER WINS GAME; Puerto Rico Beats Venezuela in Eleventh Inning, 4-2",,,Article
1955,13-Feb-55,"RICH VENEZUELA A FISCAL PARADOX; RICH VENEZUELA A FISCAL PARADOX Money Is Sound, Trade Bills Are Promptly Paid--Not So the Government's Debt SUM UNKNOWN, COST HIGH Guaranteed Notes Circulate at Yields Up to 12%--No Central Control Visible","Venezuela's fiscal slip is beginning to show, but Latin America's richest country is so oilhappy it doesn't seem to care.",,Article
1955,27-Feb-55,Benson Arrives in Venezuela,Caracas; confs with Min Otanez,,Article
1955,13-Mar-55,Sears Fills Venezuela Post,J F Gallagher new pres,,Article
1955,15-Mar-55,PARLEY BRINGS RESULTS; 15 U. S. Concerns Said to Plan Factories in Venezuela,L B Casanova says 15 US-financed cos plan plants as result of recent Inter-Amer Investment Conf,,Article
1955,22-Mar-55,"CREOLE ACHIEVES NEW PROFIT PEAK; Venezuela Affiliate of Jersey Standard Oil Reports '54 Net of $239,650,741","The Creole Petroleum Corporation, Venezuelan affiliate of the Standard Oil Company of New Jersey, reported yesterday a record net income of $239,650,741 for 1954. Equal to $9.27 each on 25,865,310 shares outstanding, the net compared with the...",,Article
1955,22-Apr-55,VENEZUELA TRADE PRIMED WITH OIL; Creole Survey Pinpoints Potential Business Loss to U. S. in Imports Curb,The stake of hundreds of American communities in this country's flourishing export trade with Venezuela was given dollar-and-cents emphasis yesterday.,,Article
1955,27-Apr-55,LABOR AIDE EXPELLED; Venezuela Charges Meddling by Dutch I. L. O. Delegate,"Dutch repr Vermuelen criticizes situation, ILO regional conf, Caracas; expelled from country; flies to Curacao",,Article
1955,28-Apr-55,VENEZUELA IS CRITICIZED; Free Labor Leader Assails Ouster of an I.L.O. Aide,ouster protested by ICFTU sec-treas Oldenbroek,,Article
1955,30-Apr-55,Venezuela Re-admits I.L.O. Aide,Pres Perez Jiminez agrees to let Vermuelen re-enter if he 'rectifies' statements,,Article
1955,11-May-55,TWO FIGHTERS ARRESTED; Quick Knockouts in Venezuela Bouts Lead to Inquiry,"2 boxers held after 'quick' KO's, Caracas",,Article
1955,18-May-55,CONSUL GENERALS ELECT; Delfin E. Paez of Venezuela Is Named Head of Society Here,Election; D E Paez (Venezuela) pres,,Article
1955,23-May-55,Four Lost in Venezuela Plane,Venezuelan liner ditched in Caribbean; 4 feared dead,,Article
1955,12-Jun-55,VENEZUELA CHIEF ENDS VISIT IN PERU; Perez Jimenez Party Goes With Harvest of Honors From Odria Regime,"LIMA, Peru, June 11 -- Col. Marcos Perez Jimenez, president of Venezuela, completed a week's goodwill visit to Peru and left today for Caracas, his capital.",,Article
1955,17-Jun-55,OIL OUTPUT DIP SHOWN; Drop in Venezuela Attributed to Decreased U. S. Demand,"CARACAS, Venezuela, June 16 -- Oil production for May in Venezuela amounted to 2,041,234 barrels a day, according to figures released by the Government today. This is a drop of about 100,000 barrels daily from the April figure -- a drop which...",,Article
1955,25-Jun-55,SHELL OF VENEZUELA REPORTS 1954 GAINS,"Shell repts gains, '54",,Article
1955,1-Jul-55,Venezuela Has Record Budget,Fiscal '56 opens with record $765-million budget,,Article
1955,6-Jul-55,Venezuela Syndicate Sold,"Controlling block of 286,746 common shares sold to investment group",,Article
1955,16-Jul-55,"CREOLE OIL TO EXPAND; Venezuela Refinery Addition Will Cost $11,000,000","CARACAS, Venezuela, July 15 -- W. A. Haight, president of the Creole Petroleum Corporation, announced that his company, in an effort to recapture certain European markets, would exposed facilities on its Amuay refinery by 100,000 barrels a day.",,Article
1955,19-Jul-55,INVESTORS TO PUSH SALES IN VENEZUELA,"Investment interests from Venezuela, the United States and Canada have formed a finance company to help dealers in automobiles and other motor vehicles in Venezuela to finance wholesale purchases and to handle installment sales.",,Article
1955,21-Jul-55,Kirk Off to Venezuela Today,leaves for Venezuela to visit univs,,Article
1955,23-Jul-55,DR. KIRK GETS A DEGREE; Venezuela Central University Honors Head of Columbia,"in Caracas; gets degree, Central U",,Article
1955,9-Sep-55,"CANADA APPOINTS CONSUL GENERAL; H. G. Norman, Ambassador to Venezuela, to Succeed Lawson in Post Here","Henry G. Norman, prominent Canadian business man and his country's Ambassador to Venezuela, was named yesterday to succeed Ray Lawson as Canadian consul general here.",,Article
1955,14-Sep-55,CARACAS REGIME RIDES BOOM WAVE; No One in Venezuela Seems to Care About Absence of Basic Freedoms,"PANAMA, Sept. 13 -- Venezuela today is a country without real freedom of speech or political action, but where nobody seems to care much about that situation.",,Article
1955,16-Sep-55,CARACAS DENIES OIL OVERSHIPMENT; Venezuela Minister of Mines and Producers Say Quotas to U. S. Are Observed,"CARACAS, Sept. 15 -- Venezuelan business men here have become alarmed over a recent statement by Arthur Flemming, Director of the American Office of Defense Mobilization, warning eighteen American oil companies that they are importing too much oil.",,Article
1955,18-Sep-55,"OIL EXPORT SPURS VENEZUELA BOOM; Possibility U. S. Imports Will Continue Gives New Lift, Aids Internal Peace","CARACAS, Venezuela, Sept. 11 -- Recent indications of continued oil imports by the United States have given a new lift to Venezuela's booming economy and apparently contributed much to internal political peace.",,Article
1955,23-Sep-55,"Conditions in Venezuela; Gains Reported in Economic, Social and Political Life of Nation","May I comment on your editorial ""Light on Dictatorships"" and on your derogatory references to the Government of Marcos Perez Jimenez of Venezuela, in The Times of Sept. 15.",,Letter
1955,28-Sep-55,Latin-American Regimes; Venezuela and Dominican Republic Called Dictatorships,"Your last two issues have carried indignant letters from highly placed officials of the Dominican and Venezuelan dictatorships, protesting against your recent excellent editorial condemning Latin-American dictatorial regimes. These letters are worthy...",,Letter
1955,1-Oct-55,6 Die in Venezuela Air Crash,"ACCIDENTS: 6 die in chartered plane crash, Ciudad Bolivar",,Article
1955,29-Oct-55,ALUMINUM MILL STUDIED; Four Companies Considering New Plant in Venezuela,,,Article
1955,5-Nov-55,"PERON IN VENEZUELA, BARS TRIP TO EUROPE","CARACAS, Venezuela, Nov. 4 (AP) -- Juan D. Peron landed here late today for an overnight stop on his flight to Nicaragua. He said at a news conference that he did not plan to go to Europe. ""Too far,"" he said.",,Article
1955,6-Nov-55,UNIONISM AND OIL WORRYING ARUBA; Refinery Fears Venezuela Will Halt Supply of Crude if Labor Makes Inroads,"ARUBA, Dutch West Indies, Nov. 2--The futures of this island and the world's largest operating economy rest on a complicated relationship of two forces--labor organization and Venezuela.",,Article
1955,6-Nov-55,Peron in Venezuela,sees Lonardi heading for trouble,,Article
1955,12-Nov-55,"El Chama Wins International Turf Race;; VENEZUELA GAINS FIRST TWO PLACES Paying $41, El Chama Beats Prendase by Head -- Social Outcast Third at Laurel","LAUREL, Md., Nov. 11 -- Another South American coup was carried out today. It was performed by Venezuela's two representatives in the fourth running of the Washington, D. C., International race at the Laurel track.",,Article
1955,13-Nov-55,Venezuela Gets Steel Plant,"Fiat Co (Italy) to begin bldg steel plant, Caracas",,Article
1955,22-Nov-55,VENEZUELA SENDS ART; Loans Paintings to Boston Institute and for Tour,"Reveron, Armando: Venezuela sends works to Contemporary Art Inst, Boston, for Jan '56 show; tour plans",,Article
1955,4-Dec-55,"VENEZUELA OPENS BIG PUBLIC WORKS; Projects Represent Outlay of $330,000,000--Perez Jimenez Defends Regime","CARACAS, Venezuela, Dec. 3 --President Marcos Perez Jimenez opened today the first of a series of huge public works that cost more than $330,000,000 during the last twelve months.",,Article
1955,4-Dec-55,U.S. HONOR RENOUNCED; Ex-President of Venezuela Gives Up Columbia Degree,Renounces Columbia U hon degree granted in July '48,,Article
1955,12-Dec-55,VENEZUELA GAINS LAID TO OIL POLICY; Creole Petroleum Lauded in Study for Approach to Its Role as 'Good Citizen',The remarkable economic progress of Venezuela has been made possible by the stable relationship between the Government and the foreign companies developing the nation's oil resources.,,Article
1955,21-Dec-55,"VENEZUELA OIL FLOW UP; Crude Output Reaches Peak of 2,259,542 Barrels a Day","Mines Min repts crude output hit record 2,259,542 bbls daily, Nov; 3 major cos set records",,Article
1956,4-Jan-56,Venezuela Still Weighs New Oil Concessions,Govt reptdly weighs new concessions; last were granted in '45,,Article
1956,5-Jan-56,"OIL RICHES SPARK VENEZUELA CLIMB; Sions of Prosperity Evident in All Fields--Exports Top $1,700,000,000 OIL RICHES SPARK VENEZUELA CLIMB Sky Virtually Clear Manufacturing Is Up","CARACAS, Venezuela--The essence of the report for 1955 in Venezuela again is the same: the country is booming and is shattering records.",,Article
1956,5-Jan-56,U.S. LOSING GROUND IN VENEZUELA TRADE,"CARACAS, Venezuela--Although the United States continues to play a preponderant role in the Venezuelan importpicture, European countries--especially West Germany--are making inroads.",,Article
1956,13-Jan-56,VENEZUELA PLANS MORE OIL GRANTS; Government Announces That New Concessions There Are Being Studied Announcement by President,"CARACAS, Venezuela, Jan. 12--The Venezuelan Government took the first concrete step yesterday toward authorizing new oil concession. It announced last night that such concessions were being studied and would be granted ""as quickly ...",,Article
1956,30-Jan-56,2 NEW YORKERS MISSING; Listed Among Ten on Plane Hunted in Venezuela,ACCIDENTS: 4 Amers amonq 10 in craft missing along northern coast,,Article
1956,1-Feb-56,4 FROM U.S. KILLED IN VENEZUELA CRASH,"CARACAS, Venezuela, Jan. 31 (AP)--Ten persons, including a New York stockbroker and three other Americans, were killed when a private plane crashed Saturday near the Caribbean coast, Venezuelan authorities announced today.",,Article
1956,4-Feb-56,VENEZUELA TO LET EXILES GO HOME; Envoys Abroad Instructed to Issue Entry Permits--Two Ex-Presidents included Two Exiles Closely Linked,"CARACAS, Venezuela, Feb. 3 (UP)--A high Government official said today Venezuelan consuls abroad had been ordered to grant visas to Venezuelan political exiles to return home.",,Article
1956,5-Feb-56,KANSAS CITY GROUP REACHES VENEZUELA,Kansas City Comm for Internatl Relations and Trade in Venezuela on tour,,Article
1956,5-Feb-56,CARACAS 'CO-OP' GETS UNDER WAY; Apartments and Stores in Venezuela Being Built by New Realty Group,"A cooperative apartment and shopping center development is under way in Caracas, Venezuela. Adjacent to the Tamanaco Hotel, the project is the latest undertaking of FAISA, a Venezuelan real estate management and development concern established last...",,Article
1956,8-Feb-56,ANTARCTIC AID PLANE DOWN IN VENEZUELA,"WASHINGTON, Wednesday, Feb. 8 (AP)--A Navy plane enroute to the Antarctic on a search mission has been reported down in Venezuela.",,Article
1956,8-Feb-56,VENEZUELA OPEN TO NEW OIL BIDS; Date of Decision Up in Air-- Caracas Is Said to Favor a Role for Europeans Refining Clause Questioned,"CARACAS, Feb. 1--The Venezuelan Government will continue to receive bids for oil concessions this month, and possibly even longer. The period for revising previous bids expired yesterday, but new bids area expected as well.",,Article
1956,9-Feb-56,Rescue On From Venezuela,,,Article
1956,10-Feb-56,Venezuela Rescue Wound Up,7 aboard Otter rescued; all well; map; Venezuela rescue completed,,Article
1956,13-Feb-56,Police Radio in Jersey Tunes In on Venezuela,"Unusual atmospheric conditions allow Newark, NJ, police radio to hold 3-way talk with 2 US engineers in Venezuela",,Article
1956,15-Feb-56,CUBA BLANKS VENEZUELA; Gains Caribbean Series Lead After 7-to-0 Triumph,,,Article
1956,19-Feb-56,VENEZUELA REPORTS DECREASE IN CRIME,"CARACAS, Venezuela, Feb. 10 --Delinquency and crime in Venezuela are decreasing appreciably, according to the Ministry of Justice here.",,Article
1956,22-Feb-56,Letters to The Times; Middle East Pact Assessed No Protection for Israel Seen in Tripartite Declaration Discussion on Segregation Political Amnesty in Venezuela Report on the President Dr. White's Statements Queried in Regard to Rigors of Presidency Repairs and Rent Control,Israeli MP D Joseph lr holds '50 Western Big-3 declaration benefits Arabs only because in event of war Big 3 would not retaliate against Arab states because of Western interests there,,Letter
1956,1-Mar-56,KILLING OF PUPILS LAID TO CARACAS; Many Also Reported Maimed as Venezuela Police Curb a High School Protest Wounded Put at 100 Schools Reported Closed,"Scores of high school students have been killed or maimed by the police in Caracas, according to travelers who have returned during the last several days from Venezuela's capital.",,Article
1956,1-Mar-56,VENEZUELA REPORTS FAVORABLE BALANCE,'55 surplus set at $49 million,,Article
1956,3-Mar-56,MAIL EXPERIMENT MADE; Shipment to Venezuela Goes in Sealed Cargo Containers,"PO Dept, with Grace Line, tests shipping foreign mail in standard sealed cargo containers used in indus to ship small items",,Article
1956,9-Mar-56,"Monzant Tells Giants in Letter From Venezuela That He Will Not Report; MOTHER'S ILLNESS CITED BY PITCHER Monzant, Lacking 'Spirit to Play This Year,' Plans to Rejoin Giants in 1957 1-3 Mark Against Brooks A Dartmouth Man Has Strong Family Ties","PHOENIX, Ariz., March 8-- Ramon Monzant, the righthander the Giants hoped would develop into a Dodger-killer, today virtually placed himself on the voluntarily retired list for 1956.  ",,Article
1956,10-Mar-56,NEW POST FOR ENVOY; President Names McIntosh to Be Venezuela Ambassador,"McIntosh, (Amb) D, Amb to Venezuela",,Article
1956,17-Mar-56,VENEZUELA TAKES TECHNOCRAT PATH; Uses Her Oil Riches to Rush Material Progress While Curbing Civil Rights Technocracy Is Philosophy Little Resistance Shown No Doubt of Brutality,"CARACAS, Venezuela, March 16--Venezuela, by the will of her rulers, is being turned into a technocracy.",,Article
1956,24-Mar-56,Venezuela Plans Public Works,Govt appropriates $27 million for extraordinary pub works,,Article
1956,25-Mar-56,Rockefeller in Venezuela,in Venezuela for Easter holidays,,Article
1956,4-Apr-56,"$292,943,900 NET FOR CREOLE IN '55; Venezuela Petroleum Affiliate of Jersey Standard Shows Earnings of $3.78 Share",,,Article
1956,8-Apr-56,DRIVE FOR STEEL RINGS THE WORLD; The Huge Global Demand for Steel Presages a Second Industrial Revolution DRIVE FOR STEEL RINGS THE WORLD INDIA BRAZIL ARGENTINA EGYPT VENEZUELA,The greatest era of steel expansion in the history of the world is now under way.,,Article
1956,17-Apr-56,VENEZUELA UNIONS MEET; Oil Delegates Prepare Draft for New Contract,"Petroleum Workers Cong meets, Caracas, to prepare draft for new collective pact with oil cos",,Article
1956,20-Apr-56,Venezuela Opens Cable Line,new cable carry from city to top of Mt Avila opens,,Article
1956,6-May-56,Western Venezuela Gets TV,,,Article
1956,12-May-56,Venezuela Diamond Output Up,,,Article
1956,14-May-56,Venezuela Finds Valuable Deposits Of Aluminum Ore; To Exploit Mineral,"CARACAS, Venezuela, May 13--Important deposits of bauxite have been located in Venezuela, the Ministry of Mines reported today.",,Article
1956,21-May-56,"VENEZUELA TRADE HELD FAVORABLE; Balance of $875,000,000 in 1955 Reported by Nation --U.S. Exports Good","CARACAS, May 20--Venezuela enjoyed a favorably trade balance of $875,000,000 during 1955, according to final trade ...",,Article
1956,30-May-56,NEW OIL CONCESSIONS; Venezuela to Authorize Soon Big Area for Prospecting,"CARACAS, Venezuela, May 29--Dr. Edmundo Luongo Cabello, the Minister of Mines, confirmed today that two to three million hectares (4,942,000 to 7,413,000 acres) in new oil concessions would be authorized soon. He did not give a definite date.",,Article
1956,5-Jun-56,VENEZUELA NOTE FAILS IN SUIT HERE; Dulles Turns Down Plea for 'Suggestion' in Libel Action Against Consul General Dismissal Motion Pends,The Venezuelan Government has sought vainly to get the United States Department of State to help it quash a libel suit against its consul general here.,,Article
1956,10-Jun-56,VENEZUELA VISIONARY; LATE REMBRANDT IN AMSTERDAM EXHIBITION,EVERY now and again we are jolted from our com-  fortable ignorance by being made aware that twentieth century art has occasionally flared up with unexpected brilliance outside our conventional range of vision.,,Article
1956,10-Jun-56,LATIN UNIVERSITY LOOKS TO CO-EDS; They Excel in 2 Departments at Venezuela Central-- Win 113 of 602 Degrees,"CARACAS, Venezuela, May 29 --Of 602 degrees given at the end of the present academic year by Venezuela's Central University here, 113 have been won by women.  ",,Article
1956,20-Jun-56,BURNING AIRLINER WITH 74 CRASHES IN SEA NEAR HERE; NO SURVIVORS ARE SIGHTED; OIL SLICK IS SEEN 18 Americans Among Passengers Bound for Venezuela Coast Guard Sends Aid BURNING AIRLINER DOWN IN ATLANTIC Venezuelan National Line,A Venezuelan airliner with seventy-four persons aboard crashed into the Atlantic Ocean forty miles south of here early today.,,Front Page
1956,21-Jun-56,NEWS STUNS VENEZUELA; Aviation Meeting Reception Canceled After Crash,,,Article
1956,22-Jun-56,U. S. and Venezuela Open Inquiry in Plane Disaster; Cause of Crash That Killed 74 Is Sought Here in Records and Wreckage--Search Continues Off Jersey TWO NATIONS OPEN AIR CRASH INQUIRY,Experts searched yesterday for the cause of the crash of a flaming Venezuelan airliner in the Atlantic Ocean Wednesday. All seventy-four persons aboard were killed.,,Front Page
1956,24-Jun-56,"FORGERY CHARGED TO CARACAS PAPER; Finding by A.D. Osborn, as Expert, Filed in Suit Here Against Venezuela Consul Role of State Department",A Venezuelan litigant before a Federal court here has submitted a handwriting expert's affidavit that a pro-Government newspaper in Caracas used forged signatures.,,Article
1956,25-Jun-56,"Dons Win in Venezuela, 85-54",,,Article
1956,27-Jun-56,OIL RIGHTS ALLOTTED; Venezuela Notifies Concerns of Concession Decisions,Govt notifies some cos of decisions on new concessions; allots parcels near Maracaibo; official decision awaited,,Article
